# SYNTHETIC DATA - fictional training records, not clinical evidence.
interaction_id,hcp_id,therapeutic_area,date,msl,channel,verbatim,source_file,source_record
oncology-mm:OBS-013,oncology-mm:HCP-121,oncology-mm,2026-06-18,MSL-04,Virtual,Wants to know whether MRD negativity means anything for stopping treatment.,workshop/data/oncology-mm/field-observations.csv,OBS-013
oncology-mm:OBS-014,oncology-mm:HCP-111,oncology-mm,2026-05-09,MSL-06,Virtual,Says the competitor's GPRC5D agent is being preferred locally because of the lower infection signal.,workshop/data/oncology-mm/field-observations.csv,OBS-014
oncology-mm:OBS-015,oncology-mm:HCP-131,oncology-mm,2026-05-18,MSL-06,Phone,Concerned about the taste changes and weight loss with the GPRC5D class; says patients tolerate ours better on that axis.,workshop/data/oncology-mm/field-observations.csv,OBS-015
oncology-mm:OBS-016,oncology-mm:HCP-112,oncology-mm,2026-06-28,MSL-05,Face-to-face,Asked whether there is a plan for a randomised trial. Said 'single-arm data will not get this into guidelines'.,workshop/data/oncology-mm/field-observations.csv,OBS-016
oncology-mm:OBS-017,oncology-mm:HCP-117,oncology-mm,2026-04-28,MSL-04,Congress,A patient became pregnant while on study treatment. Reported to the site; asked what we know about exposure.,workshop/data/oncology-mm/field-observations.csv,OBS-017
oncology-mm:OBS-018,oncology-mm:HCP-109,oncology-mm,2026-06-03,MSL-04,Face-to-face,"Says referral pathways from community to academic centres are the bottleneck, not capacity.",workshop/data/oncology-mm/field-observations.csv,OBS-018
oncology-mm:OBS-019,oncology-mm:HCP-129,oncology-mm,2026-04-24,MSL-07,Face-to-face,Thinks the step-up schedule could be compressed and wants to know if anyone is studying that.,workshop/data/oncology-mm/field-observations.csv,OBS-019
oncology-mm:OBS-020,oncology-mm:HCP-127,oncology-mm,2026-06-18,MSL-04,Face-to-face,Reports that one patient stopped responding after four months and he could not tell whether it was antigen loss.,workshop/data/oncology-mm/field-observations.csv,OBS-020
oncology-mm:OBS-021,oncology-mm:HCP-111,oncology-mm,2026-04-07,MSL-04,Face-to-face,Asked for real-world data on outcomes in patients who would not have met trial eligibility.,workshop/data/oncology-mm/field-observations.csv,OBS-021
oncology-mm:OBS-022,oncology-mm:HCP-129,oncology-mm,2026-06-05,MSL-07,Phone,Says the pre-medication requirements are onerous for day-case units.,workshop/data/oncology-mm/field-observations.csv,OBS-022
oncology-mm:OBS-023,oncology-mm:HCP-125,oncology-mm,2026-04-14,MSL-03,Face-to-face,Two community physicians in the network say they have never seen the product used and would not know how to start.,workshop/data/oncology-mm/field-observations.csv,OBS-023
oncology-mm:OBS-024,oncology-mm:HCP-118,oncology-mm,2026-05-15,MSL-06,Virtual,"Raised that the sequencing question is now blocking earlier-line adoption — 'it's a how question, not a whether question'.",workshop/data/oncology-mm/field-observations.csv,OBS-024
oncology-mm:OBS-025,oncology-mm:HCP-140,oncology-mm,2026-06-13,MSL-04,Face-to-face,Says the response rate is not the interesting number any more; durability is.,workshop/data/oncology-mm/field-observations.csv,OBS-025
oncology-mm:OBS-026,oncology-mm:HCP-115,oncology-mm,2026-04-04,MSL-02,Congress,Reported a patient hospitalised with pneumonia six weeks after starting; unclear whether treatment-related.,workshop/data/oncology-mm/field-observations.csv,OBS-026
oncology-mm:OBS-027,oncology-mm:HCP-116,oncology-mm,2026-04-25,MSL-07,Face-to-face,Asked whether hypogammaglobulinaemia management guidance exists. Said practice varies wildly across her network.,workshop/data/oncology-mm/field-observations.csv,OBS-027
oncology-mm:OBS-028,oncology-mm:HCP-112,oncology-mm,2026-05-15,MSL-06,Face-to-face,Notes that nurses find the step-up dosing paperwork the hardest part of the protocol.,workshop/data/oncology-mm/field-observations.csv,OBS-028
oncology-mm:OBS-029,oncology-mm:HCP-125,oncology-mm,2026-06-05,MSL-04,Virtual,Says the label's four-prior-lines requirement does not match how patients present to him.,workshop/data/oncology-mm/field-observations.csv,OBS-029
oncology-mm:OBS-030,oncology-mm:HCP-118,oncology-mm,2026-05-09,MSL-06,Phone,Asked whether we have any quality-of-life data at all. Said its absence is 'telling'.,workshop/data/oncology-mm/field-observations.csv,OBS-030
oncology-mm:OBS-031,oncology-mm:HCP-135,oncology-mm,2026-06-03,MSL-06,Face-to-face,Reports using it in third line off-label in one patient after discussion with the patient; the patient responded.,workshop/data/oncology-mm/field-observations.csv,OBS-031
oncology-mm:OBS-032,oncology-mm:HCP-134,oncology-mm,2026-05-23,MSL-06,Phone,"Says the competitor CAR-T is preferred where a manufacturing slot is available, and ours is the fallback.",workshop/data/oncology-mm/field-observations.csv,OBS-032
oncology-mm:OBS-033,oncology-mm:HCP-113,oncology-mm,2026-04-08,MSL-01,Congress,Wants to know what happens to patients who progress on our agent — what is left.,workshop/data/oncology-mm/field-observations.csv,OBS-033
oncology-mm:OBS-034,oncology-mm:HCP-117,oncology-mm,2026-04-14,MSL-03,Face-to-face,Thinks the field is over-indexed on ORR because that is what the trials reported.,workshop/data/oncology-mm/field-observations.csv,OBS-034
oncology-mm:OBS-035,oncology-mm:HCP-117,oncology-mm,2026-04-02,MSL-03,Virtual,Reports that a patient's disease progressed rapidly after a treatment interruption for infection.,workshop/data/oncology-mm/field-observations.csv,OBS-035
oncology-mm:OBS-036,oncology-mm:HCP-134,oncology-mm,2026-05-13,MSL-03,Virtual,Asked whether there is any biomarker for who responds durably.,workshop/data/oncology-mm/field-observations.csv,OBS-036
oncology-mm:OBS-037,oncology-mm:HCP-122,oncology-mm,2026-05-03,MSL-03,Congress,Says his pharmacy will not stock it because of the storage requirement.,workshop/data/oncology-mm/field-observations.csv,OBS-037
oncology-mm:OBS-038,oncology-mm:HCP-101,oncology-mm,2026-05-09,MSL-06,Congress,Raised that patients travelling from rural areas cannot manage weekly dosing.,workshop/data/oncology-mm/field-observations.csv,OBS-038
oncology-mm:OBS-039,oncology-mm:HCP-115,oncology-mm,2026-04-02,MSL-02,Face-to-face,Notes that his MDT has stopped debating whether to use bispecifics and now debates which one.,workshop/data/oncology-mm/field-observations.csv,OBS-039
oncology-mm:OBS-040,oncology-mm:HCP-136,oncology-mm,2026-06-28,MSL-01,Virtual,Says the safety data in older patients is 'basically absent' and he treats a lot of older patients.,workshop/data/oncology-mm/field-observations.csv,OBS-040
oncology-mm:OBS-041,oncology-mm:HCP-119,oncology-mm,2026-06-16,MSL-05,Congress,Asked directly whether we would fund an investigator-initiated study on outpatient step-up dosing.,workshop/data/oncology-mm/field-observations.csv,OBS-041
oncology-mm:OBS-042,oncology-mm:HCP-115,oncology-mm,2026-05-15,MSL-03,Phone,Reports a patient with grade 2 ICANS that resolved without intervention; had not expected neurotoxicity.,workshop/data/oncology-mm/field-observations.csv,OBS-042
oncology-mm:OBS-043,oncology-mm:HCP-114,oncology-mm,2026-04-07,MSL-06,Face-to-face,Says the guidelines will not move until there is a randomised trial and everyone knows it.,workshop/data/oncology-mm/field-observations.csv,OBS-043
oncology-mm:OBS-044,oncology-mm:HCP-140,oncology-mm,2026-06-13,MSL-04,Face-to-face,Thinks combination with an anti-CD38 in earlier lines is where the field is going.,workshop/data/oncology-mm/field-observations.csv,OBS-044
oncology-mm:OBS-045,oncology-mm:HCP-104,oncology-mm,2026-06-22,MSL-01,Congress,Reports two patients whose response deepened after six months — asked if that is expected.,workshop/data/oncology-mm/field-observations.csv,OBS-045
oncology-mm:OBS-046,oncology-mm:HCP-124,oncology-mm,2026-06-10,MSL-03,Face-to-face,Says the competitor's field team have been more visible than ours.,workshop/data/oncology-mm/field-observations.csv,OBS-046
oncology-mm:OBS-047,oncology-mm:HCP-130,oncology-mm,2026-06-07,MSL-06,Virtual,Asked whether the extramedullary disease subgroup is large enough to say anything.,workshop/data/oncology-mm/field-observations.csv,OBS-047
oncology-mm:OBS-048,oncology-mm:HCP-104,oncology-mm,2026-04-07,MSL-05,Virtual,Notes that infection prophylaxis practice at her centre now diverges from the label because of local experience.,workshop/data/oncology-mm/field-observations.csv,OBS-048
oncology-mm:OBS-049,oncology-mm:HCP-139,oncology-mm,2026-05-09,MSL-07,Congress,"Says the biggest unmet need is not another agent, it is knowing what to do after they all fail.",workshop/data/oncology-mm/field-observations.csv,OBS-049
oncology-mm:OBS-050,oncology-mm:HCP-115,oncology-mm,2026-05-26,MSL-05,Congress,Reports a patient who received a double dose in error owing to a scheduling mix-up; no ill effects observed.,workshop/data/oncology-mm/field-observations.csv,OBS-050
oncology-mm:OBS-051,oncology-mm:HCP-116,oncology-mm,2026-05-15,MSL-05,Face-to-face,"Asked whether the product can be given in a day unit or requires overnight stay, and said the answer determines whether she uses it.",workshop/data/oncology-mm/field-observations.csv,OBS-051
oncology-mm:OBS-052,oncology-mm:HCP-129,oncology-mm,2026-06-07,MSL-05,Face-to-face,Thinks patient selection is the whole game and nobody has published on it.,workshop/data/oncology-mm/field-observations.csv,OBS-052
oncology-mm:OBS-053,oncology-mm:HCP-110,oncology-mm,2026-05-07,MSL-04,Face-to-face,Says a competitor's real-world dataset was presented at the last congress and ours was not.,workshop/data/oncology-mm/field-observations.csv,OBS-053
oncology-mm:OBS-054,oncology-mm:HCP-107,oncology-mm,2026-05-25,MSL-01,Face-to-face,Reports declining response over three cycles in one patient with no clear explanation.,workshop/data/oncology-mm/field-observations.csv,OBS-054
oncology-mm:OBS-055,oncology-mm:HCP-135,oncology-mm,2026-06-14,MSL-01,Face-to-face,Asked what proportion of trial patients were still on treatment at two years.,workshop/data/oncology-mm/field-observations.csv,OBS-055
immunology-ad:OBS-001,immunology-ad:HCP-117,immunology-ad,2026-05-25,MSL-07,Phone,Says EASI underestimates severity in her patients with darker skin and she does not trust the trial numbers as a result.,workshop/data/immunology-ad/field-observations.csv,OBS-001
immunology-ad:OBS-002,immunology-ad:HCP-129,immunology-ad,2026-06-08,MSL-03,Phone,Asked whether the trials reported outcomes by Fitzpatrick skin type. Said the answer 'not pre-specified' is inadequate.,workshop/data/immunology-ad/field-observations.csv,OBS-002
immunology-ad:OBS-003,immunology-ad:HCP-139,immunology-ad,2026-05-23,MSL-04,Face-to-face,Reports that patients prioritise itch relief over clearance and the trials led on EASI.,workshop/data/immunology-ad/field-observations.csv,OBS-003
immunology-ad:OBS-004,immunology-ad:HCP-121,immunology-ad,2026-04-26,MSL-04,Congress,"Says the every-4-week dosing is a genuine advantage over the JAK inhibitors' daily oral, for adherence.",workshop/data/immunology-ad/field-observations.csv,OBS-004
immunology-ad:OBS-005,immunology-ad:HCP-118,immunology-ad,2026-04-14,MSL-06,Virtual,Two patients developed conjunctivitis severe enough to need ophthalmology referral.,workshop/data/immunology-ad/field-observations.csv,OBS-005
immunology-ad:OBS-006,immunology-ad:HCP-101,immunology-ad,2026-04-14,MSL-02,Face-to-face,A patient reported a severe injection site reaction with swelling extending beyond the injection area; treated with antihistamines.,workshop/data/immunology-ad/field-observations.csv,OBS-006
immunology-ad:OBS-007,immunology-ad:HCP-101,immunology-ad,2026-04-07,MSL-05,Phone,Thinks the JAK boxed warning is over-weighted by prescribers relative to the actual event rates.,workshop/data/immunology-ad/field-observations.csv,OBS-007
immunology-ad:OBS-008,immunology-ad:HCP-110,immunology-ad,2026-06-23,MSL-05,Virtual,Asked directly for a head-to-head against the JAK inhibitor. Said 'that is the comparison I make every clinic'.,workshop/data/immunology-ad/field-observations.csv,OBS-008
immunology-ad:OBS-009,immunology-ad:HCP-133,immunology-ad,2026-05-23,MSL-05,Congress,Says patients ask about the speed of itch relief and the JAK is faster.,workshop/data/immunology-ad/field-observations.csv,OBS-009
immunology-ad:OBS-010,immunology-ad:HCP-117,immunology-ad,2026-06-22,MSL-07,Phone,"Reports a patient who became pregnant on treatment; treatment was stopped, asked what data exist.",workshop/data/immunology-ad/field-observations.csv,OBS-010
immunology-ad:OBS-011,immunology-ad:HCP-123,immunology-ad,2026-05-01,MSL-02,Congress,Says the formulary threshold in her region is stricter than the label and that is what determines who gets treated.,workshop/data/immunology-ad/field-observations.csv,OBS-011
immunology-ad:OBS-012,immunology-ad:HCP-130,immunology-ad,2026-06-15,MSL-04,Face-to-face,Notes that adolescents drop off treatment more than adults and nobody has studied why.,workshop/data/immunology-ad/field-observations.csv,OBS-012
immunology-ad:OBS-013,immunology-ad:HCP-116,immunology-ad,2026-04-17,MSL-03,Face-to-face,Asked whether there is any signal on asthma outcomes in patients with both conditions.,workshop/data/immunology-ad/field-observations.csv,OBS-013
immunology-ad:OBS-014,immunology-ad:HCP-137,immunology-ad,2026-05-24,MSL-06,Face-to-face,Reports a patient hospitalised with eczema herpeticum eight weeks after starting; unclear relationship.,workshop/data/immunology-ad/field-observations.csv,OBS-014
immunology-ad:OBS-015,immunology-ad:HCP-115,immunology-ad,2026-05-27,MSL-02,Congress,Says the pre-filled pen is difficult for patients with hand eczema to operate.,workshop/data/immunology-ad/field-observations.csv,OBS-015
immunology-ad:OBS-016,immunology-ad:HCP-132,immunology-ad,2026-05-28,MSL-01,Face-to-face,Two of the pens in a recent batch leaked on injection; patients unsure whether they got the full dose.,workshop/data/immunology-ad/field-observations.csv,OBS-016
immunology-ad:OBS-017,immunology-ad:HCP-133,immunology-ad,2026-04-13,MSL-07,Face-to-face,Thinks the 52-week extension data is not long enough for a chronic disease people take lifelong.,workshop/data/immunology-ad/field-observations.csv,OBS-017
immunology-ad:OBS-018,immunology-ad:HCP-120,immunology-ad,2026-06-21,MSL-01,Face-to-face,"Reports using it in a patient with concurrent severe asthma already on a biologic; both continued, no issues so far.",workshop/data/immunology-ad/field-observations.csv,OBS-018
immunology-ad:OBS-019,immunology-ad:HCP-133,immunology-ad,2026-06-13,MSL-05,Face-to-face,Says the competitor's field team have been running better educational meetings.,workshop/data/immunology-ad/field-observations.csv,OBS-019
immunology-ad:OBS-020,immunology-ad:HCP-125,immunology-ad,2026-04-13,MSL-03,Face-to-face,Asked whether early itch response predicts who will still be responding at a year.,workshop/data/immunology-ad/field-observations.csv,OBS-020
immunology-ad:OBS-021,immunology-ad:HCP-136,immunology-ad,2026-05-02,MSL-07,Virtual,Reports one patient whose disease flared badly on stopping and asks whether there is rebound.,workshop/data/immunology-ad/field-observations.csv,OBS-021
immunology-ad:OBS-022,immunology-ad:HCP-138,immunology-ad,2026-06-01,MSL-06,Congress,Says the trials excluded exactly the patients she struggles with — those with prior biologic failure.,workshop/data/immunology-ad/field-observations.csv,OBS-022
immunology-ad:OBS-023,immunology-ad:HCP-132,immunology-ad,2026-05-23,MSL-04,Congress,Notes that GP referral thresholds vary enormously and many patients arrive far too late.,workshop/data/immunology-ad/field-observations.csv,OBS-023
immunology-ad:OBS-024,immunology-ad:HCP-133,immunology-ad,2026-06-12,MSL-01,Face-to-face,Asked whether we have any data in patients who failed a JAK inhibitor.,workshop/data/immunology-ad/field-observations.csv,OBS-024
immunology-ad:OBS-025,immunology-ad:HCP-121,immunology-ad,2026-04-27,MSL-05,Virtual,Says the conjunctivitis rate in practice feels higher than the label but she has not counted.,workshop/data/immunology-ad/field-observations.csv,OBS-025
immunology-ad:OBS-026,immunology-ad:HCP-104,immunology-ad,2026-05-24,MSL-06,Face-to-face,Reports a patient who stopped responding after seven months with no clear explanation.,workshop/data/immunology-ad/field-observations.csv,OBS-026
immunology-ad:OBS-027,immunology-ad:HCP-116,immunology-ad,2026-05-01,MSL-02,Phone,Thinks the whole field over-measures clearance and under-measures sleep.,workshop/data/immunology-ad/field-observations.csv,OBS-027
immunology-ad:OBS-028,immunology-ad:HCP-120,immunology-ad,2026-04-04,MSL-05,Virtual,"Says her nurses find the injection training straightforward, which is not true of the competitor device.",workshop/data/immunology-ad/field-observations.csv,OBS-028
immunology-ad:OBS-029,immunology-ad:HCP-113,immunology-ad,2026-06-06,MSL-03,Face-to-face,Asked whether the adolescent data are strong enough to justify use at 12 rather than 16.,workshop/data/immunology-ad/field-observations.csv,OBS-029
immunology-ad:OBS-030,immunology-ad:HCP-140,immunology-ad,2026-04-26,MSL-06,Phone,Reports that a patient used it every two weeks instead of four having misunderstood the schedule; no adverse effects.,workshop/data/immunology-ad/field-observations.csv,OBS-030
immunology-ad:OBS-031,immunology-ad:HCP-129,immunology-ad,2026-05-04,MSL-07,Virtual,"Says the biggest practical barrier is the wait for funding approval, not the clinical decision.",workshop/data/immunology-ad/field-observations.csv,OBS-031
immunology-ad:OBS-032,immunology-ad:HCP-129,immunology-ad,2026-05-02,MSL-07,Face-to-face,Notes that patients in her clinic with skin of colour are under-represented in every dataset she has seen.,workshop/data/immunology-ad/field-observations.csv,OBS-032
immunology-ad:OBS-033,immunology-ad:HCP-101,immunology-ad,2026-05-03,MSL-06,Virtual,Asked whether there is any biomarker to predict response.,workshop/data/immunology-ad/field-observations.csv,OBS-033
immunology-ad:OBS-034,immunology-ad:HCP-111,immunology-ad,2026-05-22,MSL-03,Face-to-face,Reports a cluster of three patients with worsening after an initial good response at around month five.,workshop/data/immunology-ad/field-observations.csv,OBS-034
immunology-ad:OBS-035,immunology-ad:HCP-117,immunology-ad,2026-06-17,MSL-03,Face-to-face,Says the itch NRS is the outcome patients actually care about and it is buried as a secondary.,workshop/data/immunology-ad/field-observations.csv,OBS-035
immunology-ad:OBS-036,immunology-ad:HCP-125,immunology-ad,2026-06-25,MSL-02,Virtual,Thinks the competitor's positioning on itch is effective even though their EASI data are weaker.,workshop/data/immunology-ad/field-observations.csv,OBS-036
immunology-ad:OBS-037,immunology-ad:HCP-109,immunology-ad,2026-05-16,MSL-06,Virtual,"Asked what happens to patients who fail this — 'what's next, and is there anything?'",workshop/data/immunology-ad/field-observations.csv,OBS-037
immunology-ad:OBS-038,immunology-ad:HCP-132,immunology-ad,2026-04-07,MSL-02,Face-to-face,Reports that the storage requirements are a problem for patients without reliable refrigeration.,workshop/data/immunology-ad/field-observations.csv,OBS-038
immunology-ad:OBS-039,immunology-ad:HCP-117,immunology-ad,2026-05-25,MSL-03,Face-to-face,Says adherence in adolescents is the single biggest determinant of outcome in her practice.,workshop/data/immunology-ad/field-observations.csv,OBS-039
immunology-ad:OBS-040,immunology-ad:HCP-113,immunology-ad,2026-06-22,MSL-03,Face-to-face,Notes she has stopped using the competitor's IL-31 agent because the EASI response was disappointing.,workshop/data/immunology-ad/field-observations.csv,OBS-040
immunology-ad:OBS-041,immunology-ad:HCP-131,immunology-ad,2026-05-22,MSL-04,Virtual,Asked whether we would support an investigator-initiated study on airway outcomes.,workshop/data/immunology-ad/field-observations.csv,OBS-041
immunology-ad:OBS-042,immunology-ad:HCP-135,immunology-ad,2026-04-18,MSL-02,Phone,"Reports a patient with a herpes zoster reactivation; recovered, unclear attribution.",workshop/data/immunology-ad/field-observations.csv,OBS-042
immunology-ad:OBS-043,immunology-ad:HCP-134,immunology-ad,2026-05-10,MSL-04,Face-to-face,Says guideline positioning is what will determine uptake and the guidelines lag by two years.,workshop/data/immunology-ad/field-observations.csv,OBS-043
immunology-ad:OBS-044,immunology-ad:HCP-113,immunology-ad,2026-04-06,MSL-03,Congress,Thinks combination with topical therapy is under-studied and everyone does it anyway.,workshop/data/immunology-ad/field-observations.csv,OBS-044
immunology-ad:OBS-045,immunology-ad:HCP-134,immunology-ad,2026-05-01,MSL-05,Face-to-face,Reports two patients who describe the injection as considerably more painful than their previous biologic.,workshop/data/immunology-ad/field-observations.csv,OBS-045
immunology-ad:OBS-046,immunology-ad:HCP-114,immunology-ad,2026-06-23,MSL-07,Congress,Says the trial population's mean baseline EASI was higher than most of her clinic.,workshop/data/immunology-ad/field-observations.csv,OBS-046
immunology-ad:OBS-047,immunology-ad:HCP-126,immunology-ad,2026-04-06,MSL-06,Face-to-face,Asked whether the effect holds in patients with predominantly head-and-neck disease.,workshop/data/immunology-ad/field-observations.csv,OBS-047
immunology-ad:OBS-048,immunology-ad:HCP-103,immunology-ad,2026-06-08,MSL-03,Virtual,Notes that quality-of-life improvement in her patients seems larger than the EASI change would suggest.,workshop/data/immunology-ad/field-observations.csv,OBS-048
immunology-ad:OBS-049,immunology-ad:HCP-117,immunology-ad,2026-05-12,MSL-06,Congress,Reports a patient who developed a persistent facial redness that did not respond to treatment.,workshop/data/immunology-ad/field-observations.csv,OBS-049
immunology-ad:OBS-050,immunology-ad:HCP-109,immunology-ad,2026-05-17,MSL-03,Phone,"Says the every-4-week schedule means patients forget, and asks whether reminder support exists.",workshop/data/immunology-ad/field-observations.csv,OBS-050
immunology-ad:OBS-051,immunology-ad:HCP-131,immunology-ad,2026-05-19,MSL-07,Face-to-face,"Thinks the real competitor is not another biologic, it is patients giving up and self-managing.",workshop/data/immunology-ad/field-observations.csv,OBS-051
immunology-ad:OBS-052,immunology-ad:HCP-104,immunology-ad,2026-05-01,MSL-01,Face-to-face,Asked for real-world persistence data — 'how many are still on it at two years?',workshop/data/immunology-ad/field-observations.csv,OBS-052
immunology-ad:OBS-053,immunology-ad:HCP-111,immunology-ad,2026-06-18,MSL-04,Phone,Reports one patient who had no response at all by week 24 and asks whether that is expected.,workshop/data/immunology-ad/field-observations.csv,OBS-053
immunology-ad:OBS-054,immunology-ad:HCP-125,immunology-ad,2026-04-16,MSL-05,Face-to-face,Says her department cannot absorb more biologic monitoring without more nursing time.,workshop/data/immunology-ad/field-observations.csv,OBS-054
cardiometabolic-obesity:OBS-001,cardiometabolic-obesity:HCP-127,cardiometabolic-obesity,2026-04-24,MSL-01,Congress,Says the 68% regain figure is the most important number in the trial and it is never in the slide deck.,workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-001
cardiometabolic-obesity:OBS-002,cardiometabolic-obesity:HCP-130,cardiometabolic-obesity,2026-05-02,MSL-02,Face-to-face,Asked directly whether there is a cardiovascular outcomes trial. Said without one this will not enter cardiology practice.,workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-002
cardiometabolic-obesity:OBS-003,cardiometabolic-obesity:HCP-122,cardiometabolic-obesity,2026-05-08,MSL-03,Face-to-face,"Reports that a patient was hospitalised with acute pancreatitis during titration; recovered, investigation ongoing.",workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-003
cardiometabolic-obesity:OBS-004,cardiometabolic-obesity:HCP-112,cardiometabolic-obesity,2026-04-09,MSL-02,Phone,Says the titration schedule is too fast for her older patients and she slows it routinely.,workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-004
cardiometabolic-obesity:OBS-005,cardiometabolic-obesity:HCP-103,cardiometabolic-obesity,2026-04-26,MSL-06,Virtual,Two patients discontinued because of intractable nausea despite dose reduction.,workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-005
cardiometabolic-obesity:OBS-006,cardiometabolic-obesity:HCP-134,cardiometabolic-obesity,2026-04-15,MSL-02,Face-to-face,Asked about lean mass. Said the DXA sub-study was 'too small to reassure anyone'.,workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-006
cardiometabolic-obesity:OBS-007,cardiometabolic-obesity:HCP-118,cardiometabolic-obesity,2026-05-18,MSL-03,Face-to-face,Reports that patients are asking about stopping and she has no evidence-based answer.,workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-007
cardiometabolic-obesity:OBS-008,cardiometabolic-obesity:HCP-133,cardiometabolic-obesity,2026-04-21,MSL-06,Virtual,"Says supply constraints on the competitor product are driving patients to ours by default, not by choice.",workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-008
cardiometabolic-obesity:OBS-009,cardiometabolic-obesity:HCP-106,cardiometabolic-obesity,2026-04-20,MSL-03,Congress,"Reports a patient who became pregnant while on treatment; treatment stopped immediately, asked what data exist.",workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-009
cardiometabolic-obesity:OBS-010,cardiometabolic-obesity:HCP-114,cardiometabolic-obesity,2026-05-06,MSL-05,Phone,Notes that gallbladder events in her practice seem more frequent than the label suggests.,workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-010
cardiometabolic-obesity:OBS-011,cardiometabolic-obesity:HCP-124,cardiometabolic-obesity,2026-04-28,MSL-07,Congress,Says the weekly injection is manageable but patients would prefer oral.,workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-011
cardiometabolic-obesity:OBS-012,cardiometabolic-obesity:HCP-119,cardiometabolic-obesity,2026-05-03,MSL-06,Face-to-face,Asked whether there is any data in patients over 75. Said she treats many.,workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-012
cardiometabolic-obesity:OBS-013,cardiometabolic-obesity:HCP-103,cardiometabolic-obesity,2026-06-01,MSL-07,Face-to-face,Reports using it in a patient with HFpEF off-label; symptoms improved markedly.,workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-013
cardiometabolic-obesity:OBS-014,cardiometabolic-obesity:HCP-121,cardiometabolic-obesity,2026-05-07,MSL-05,Face-to-face,Says primary care cannot deliver the titration support the protocol assumes.,workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-014
cardiometabolic-obesity:OBS-015,cardiometabolic-obesity:HCP-119,cardiometabolic-obesity,2026-04-05,MSL-02,Phone,Two pens in a recent batch would not prime; patients missed doses.,workshop/data/cardiometabolic-obesity/field-observations.csv,OBS-015
